Radverkehrszählungen auf ausgewählten Fahrradrouten;;;;;;;;;;;;;;;;;;
Bicycle traffic counts on selected bike routes;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRIC_CODE;SUB_DISTRICT_CODE;ROUTE_01;ROUTE_02;ROUTE_03;ROUTE_04;ROUTE_05;ROUTE_06;ROUTE_07;ROUTE_08;ROUTE_09;ROUTE_10;WEEKDAY;DAY;MONTH;YEAR
AT1;AT13;AT130;00000;0000;94;96;0;59;135;27;58;316;50;179;7;1;1;2012
AT1;AT13;AT130;00000;0000;418;230;0;144;405;76;187;857;156;806;1;2;1;2012
AT1;AT13;AT130;00000;0000;647;427;0;185;664;134;295;885;279;1.157;2;3;1;2012
AT1;AT13;AT130;00000;0000;607;214;0;161;533;113;244;592;247;991;3;4;1;2012
AT1;AT13;AT130;00000;0000;533;174;0;124;460;101;205;505;211;941;4;5;1;2012
AT1;AT13;AT130;00000;0000;248;262;0;58;313;55;138;282;149;471;5;6;1;2012
AT1;AT13;AT130;00000;0000;238;249;0;84;211;54;133;349;113;511;6;7;1;2012
AT1;AT13;AT130;00000;0000;191;157;0;68;221;35;86;212;80;323;7;8;1;2012
AT1;AT13;AT130;00000;0000;868;234;0;193;673;58;271;632;249;1.248;1;9;1;2012
AT1;AT13;AT130;00000;0000;902;248;0;169;612;82;296;685;284;1.397;2;10;1;2012
AT1;AT13;AT130;00000;0000;1.136;385;0;222;884;140;411;965;337;1.805;3;11;1;2012
AT1;AT13;AT130;00000;0000;1.215;513;0;233;1.016;154;514;1.016;391;1.985;4;12;1;2012
AT1;AT13;AT130;00000;0000;807;186;0;129;520;63;313;703;241;1.125;5;13;1;2012
AT1;AT13;AT130;00000;0000;353;215;0;67;257;33;140;418;156;645;6;14;1;2012
AT1;AT13;AT130;00000;0000;300;338;0;81;305;50;150;351;107;515;7;15;1;2012
AT1;AT13;AT130;00000;0000;919;270;0;199;672;93;291;815;327;1.459;1;16;1;2012
AT1;AT13;AT130;00000;0000;493;108;0;91;380;115;97;358;146;709;2;17;1;2012
AT1;AT13;AT130;00000;0000;878;252;0;171;621;102;209;675;270;1.349;3;18;1;2012
AT1;AT13;AT130;00000;0000;479;85;0;108;315;28;78;326;152;663;4;19;1;2012
AT1;AT13;AT130;00000;0000;616;154;0;108;419;55;168;494;198;960;5;20;1;2012
AT1;AT13;AT130;00000;0000;289;311;0;116;268;69;171;358;120;534;6;21;1;2012
AT1;AT13;AT130;00000;0000;193;266;0;64;226;46;146;277;100;457;7;22;1;2012
AT1;AT13;AT130;00000;0000;937;366;0;206;806;133;417;923;372;848;1;23;1;2012
AT1;AT13;AT130;00000;0000;739;247;0;163;612;74;298;724;293;1.421;2;24;1;2012
AT1;AT13;AT130;00000;0000;1.109;305;0;229;764;107;367;801;353;1.585;3;25;1;2012
AT1;AT13;AT130;00000;0000;990;302;0;113;691;108;308;779;360;1.509;4;26;1;2012
AT1;AT13;AT130;00000;0000;812;279;0;158;626;105;282;739;305;1.590;5;27;1;2012
AT1;AT13;AT130;00000;0000;319;249;0;84;309;108;169;434;171;654;6;28;1;2012
AT1;AT13;AT130;00000;0000;223;246;0;52;182;66;118;282;132;462;7;29;1;2012
AT1;AT13;AT130;00000;0000;839;213;0;161;641;91;276;667;276;1.203;1;30;1;2012
AT1;AT13;AT130;00000;0000;802;197;0;134;498;102;247;712;239;1.203;2;31;1;2012
AT1;AT13;AT130;00000;0000;812;163;0;130;509;67;202;606;224;1.057;3;1;2;2012
AT1;AT13;AT130;00000;0000;679;131;0;108;353;60;171;512;181;817;4;2;2;2012
AT1;AT13;AT130;00000;0000;443;88;0;87;307;55;144;381;147;632;5;3;2;2012
AT1;AT13;AT130;00000;0000;145;51;0;34;90;26;40;202;65;210;6;4;2;2012
AT1;AT13;AT130;00000;0000;114;71;0;21;123;28;71;161;46;204;7;5;2;2012
AT1;AT13;AT130;00000;0000;374;87;0;72;270;51;99;287;115;484;1;6;2;2012
AT1;AT13;AT130;00000;0000;167;38;0;25;132;9;35;151;51;237;2;7;2;2012
AT1;AT13;AT130;00000;0000;229;62;0;59;177;7;53;213;87;392;3;8;2;2012
AT1;AT13;AT130;00000;0000;226;86;0;33;207;23;74;241;86;382;4;9;2;2012
AT1;AT13;AT130;00000;0000;228;65;0;38;175;10;77;243;63;348;5;10;2;2012
AT1;AT13;AT130;00000;0000;89;33;0;15;76;11;47;143;32;164;6;11;2;2012
AT1;AT13;AT130;00000;0000;78;66;0;17;123;6;41;128;36;153;7;12;2;2012
AT1;AT13;AT130;00000;0000;412;102;0;67;299;26;99;348;172;503;1;13;2;2012
AT1;AT13;AT130;00000;0000;480;108;0;96;371;19;156;432;222;538;2;14;2;2012
AT1;AT13;AT130;00000;0000;434;110;0;67;292;19;115;355;189;581;3;15;2;2012
AT1;AT13;AT130;00000;0000;496;127;0;103;362;22;119;425;282;633;4;16;2;2012
AT1;AT13;AT130;00000;0000;403;108;0;74;232;18;85;390;181;539;5;17;2;2012
AT1;AT13;AT130;00000;0000;246;280;0;79;260;43;155;405;123;566;6;18;2;2012
AT1;AT13;AT130;00000;0000;178;215;0;49;195;32;91;215;73;322;7;19;2;2012
AT1;AT13;AT130;00000;0000;841;265;0;202;690;74;310;704;287;1.257;1;20;2;2012
AT1;AT13;AT130;00000;0000;975;372;0;174;787;92;395;804;312;1.578;2;21;2;2012
AT1;AT13;AT130;00000;0000;1.035;411;0;224;802;128;395;910;351;1.631;3;22;2;2012
AT1;AT13;AT130;00000;0000;893;275;0;194;696;85;290;759;305;1.259;4;23;2;2012
AT1;AT13;AT130;00000;0000;903;455;0;166;792;106;331;741;271;1.361;5;24;2;2012
AT1;AT13;AT130;00000;0000;547;720;0;146;585;197;304;659;227;1.121;6;25;2;2012
AT1;AT13;AT130;00000;0000;285;267;0;71;274;90;133;332;112;515;7;26;2;2012
AT1;AT13;AT130;00000;0000;1.028;426;0;221;809;131;399;891;334;1.602;1;27;2;2012
AT1;AT13;AT130;00000;0000;700;124;0;111;382;49;168;470;174;805;2;28;2;2012
AT1;AT13;AT130;00000;0000;846;255;0;190;590;59;243;729;250;1.350;3;29;2;2012
AT1;AT13;AT130;00000;0000;1.220;541;0;302;986;148;503;1.138;421;2.021;4;1;3;2012
AT1;AT13;AT130;00000;0000;1.284;859;0;279;1.299;336;692;1.319;395;2.134;5;2;3;2012
AT1;AT13;AT130;00000;0000;723;1.150;0;213;1.022;397;654;995;321;1.668;6;3;3;2012
AT1;AT13;AT130;00000;0000;506;779;0;171;770;235;403;624;255;1.231;7;4;3;2012
AT1;AT13;AT130;00000;0000;1.393;583;0;304;1.165;251;630;1.298;497;2.454;1;5;3;2012
AT1;AT13;AT130;00000;0000;1.456;517;0;257;1.107;211;563;1.287;485;2.397;2;6;3;2012
AT1;AT13;AT130;00000;0000;1.373;525;0;259;1.043;166;522;1.158;522;2.396;3;7;3;2012
AT1;AT13;AT130;00000;0000;946;182;0;151;639;93;323;711;328;1.395;4;8;3;2012
AT1;AT13;AT130;00000;0000;1.156;531;0;226;943;161;470;1.136;492;2.107;5;9;3;2012
AT1;AT13;AT130;00000;0000;742;1.120;0;233;1.027;411;582;968;355;1.681;6;10;3;2012
AT1;AT13;AT130;00000;0000;331;378;0;95;289;99;161;532;161;660;7;11;3;2012
AT1;AT13;AT130;00000;0000;1.196;305;0;227;852;129;419;1.041;425;1.907;1;12;3;2012
AT1;AT13;AT130;00000;0000;1.462;504;0;248;1.066;205;544;1.240;498;2.657;2;13;3;2012
AT1;AT13;AT130;00000;0000;1.455;628;0;274;1.144;232;577;1.444;507;2.697;3;14;3;2012
AT1;AT13;AT130;00000;0000;1.667;707;0;333;1.403;336;711;1.491;527;3.084;4;15;3;2012
AT1;AT13;AT130;00000;0000;1.750;1.332;0;435;1.981;546;1.066;1.764;648;3.479;5;16;3;2012
AT1;AT13;AT130;00000;0000;1.154;2.129;0;481;2.310;1.019;1.123;1.506;588;2.882;6;17;3;2012
AT1;AT13;AT130;00000;0000;1.153;2.794;0;554;3.278;1.257;1.479;1.242;562;3.171;7;18;3;2012
AT1;AT13;AT130;00000;0000;1.681;614;0;363;1.432;271;768;1.633;567;3.030;1;19;3;2012
AT1;AT13;AT130;00000;0000;2.050;1.009;0;455;1.951;451;966;1.996;732;3.997;2;20;3;2012
AT1;AT13;AT130;00000;0000;2.164;1.243;0;460;2.296;561;1.069;2.066;738;4.331;3;21;3;2012
AT1;AT13;AT130;00000;0000;2.229;1.161;0;515;2.296;625;1.162;2.082;795;4.520;4;22;3;2012
AT1;AT13;AT130;00000;0000;2.080;1.408;0;553;2.430;662;1.159;2.078;798;4.216;5;23;3;2012
AT1;AT13;AT130;00000;0000;1.218;2.362;0;523;2.269;1.015;1.276;1.715;628;3.226;6;24;3;2012
AT1;AT13;AT130;00000;0000;1.269;3.028;0;566;3.459;1.446;1.549;1.394;572;3.532;7;25;3;2012
AT1;AT13;AT130;00000;0000;2.261;1.024;0;591;2.218;574;1.197;2.180;823;2.598;1;26;3;2012
AT1;AT13;AT130;00000;0000;2.254;1.174;0;464;2.144;468;1.090;2.122;822;3.235;2;27;3;2012
AT1;AT13;AT130;00000;0000;2.317;1.358;0;550;2.417;696;1.194;2.218;829;4.703;3;28;3;2012
AT1;AT13;AT130;00000;0000;1.828;763;0;366;1.513;303;742;1.649;654;3.266;4;29;3;2012
AT1;AT13;AT130;00000;0000;736;197;0;97;502;86;246;686;291;1.372;5;30;3;2012
AT1;AT13;AT130;00000;0000;513;475;0;117;492;136;318;697;345;1.808;6;31;3;2012
AT1;AT13;AT130;00000;0000;558;641;0;143;671;243;434;620;349;2.116;7;1;4;2012
AT1;AT13;AT130;00000;0000;1.544;1.034;0;454;1.784;485;873;1.633;669;2.902;1;2;4;2012
AT1;AT13;AT130;00000;0000;1.799;1.467;0;450;2.399;650;1.143;1.892;816;1.738;2;3;4;2012
AT1;AT13;AT130;00000;0000;1.867;1.813;0;581;2.765;838;1.335;2.112;885;4.055;3;4;4;2012
AT1;AT13;AT130;00000;0000;1.442;918;0;381;1.805;519;921;1.570;664;1.820;4;5;4;2012
AT1;AT13;AT130;00000;0000;716;441;0;205;724;182;425;940;369;1.358;5;6;4;2012
AT1;AT13;AT130;00000;0000;333;556;0;163;436;158;282;483;240;747;6;7;4;2012
AT1;AT13;AT130;00000;0000;168;315;0;85;289;85;169;310;148;436;7;8;4;2012
AT1;AT13;AT130;00000;0000;459;1.206;0;214;1.166;519;613;650;292;1.359;1;9;4;2012
AT1;AT13;AT130;00000;0000;1.553;996;0;346;1.752;534;891;1.652;681;1.710;2;10;4;2012
