NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;2185;2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;10;2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;87;2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;22;2012
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;30;2012
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;0;2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;24;2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;6;2012
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;6;2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;10;2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;3;2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;34;2012
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;14;2012
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;3;2012
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;11;2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;1;2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;30;2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;6;2012
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;6;2012
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;3;2012
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;7;2012
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;30;2012
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;23;2012
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;7;2012
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);7;2012
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;15;2012
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;6;2012
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;11;2012
AT2;AT22;AT225;603;Deutschlandsberg;60330;Sankt Stefan ob Stainz;20;2012
AT2;AT22;AT225;603;Deutschlandsberg;60331;Schwanberg;23;2012
AT2;AT22;AT225;603;Deutschlandsberg;60332;Soboth;5;2012
AT2;AT22;AT225;603;Deutschlandsberg;60333;Stainz;31;2012
AT2;AT22;AT225;603;Deutschlandsberg;60334;Stainztal;7;2012
AT2;AT22;AT225;603;Deutschlandsberg;60335;Stallhof;5;2012
