Ertrag aus Benützungsgebühren und Betriebsentgelten für öffentliche Einrichtungen in Wien in EUR;;;;;;;;;;;
Revenues from Public Service Fees in EUR;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;ACCOUNTS_WATER;ACCOUNTS_SEWERAGE;ACCOUNTS_WASTE;ACCOUNTS_CEMETERY;ACCOUNTS_MARKET;ACCOUNTS_BATHS;REF_DATE
AT1;AT13;AT130;0;0;148877330,1;144261389,9;153706867,4;21388979,57;4366631,54;8153832,17;20021231
AT1;AT13;AT130;0;0;147437921;150727377,1;171644751,6;21077062,09;4231875,82;9752794,88;20031231
AT1;AT13;AT130;0;0;152259372,4;149993946,4;172210063,8;21528570,57;4389529,71;8175949,96;20041231
AT1;AT13;AT130;0;0;144495415,1;144140678;174257796,2;21516825,24;4196672,44;7910273,06;20051231
AT1;AT13;AT130;0;0;147459307,9;173825581,7;203702865,1;21745156,76;4440555,22;8444836,51;20061231
AT1;AT13;AT130;0;0;149348572,2;184814243,7;211113349,1;21696454,55;4651713,21;9372683,28;20071231
AT1;AT13;AT130;0;0;148366323,4;187683859,1;212312102,8;32105,4;4458483,56;9281739,8;20081231
AT1;AT13;AT130;0;0;145054193;;224937443,9;;4408702;9519974,68;20091231
AT1;AT13;AT130;0;0;144740442,4;;226073776,5;;4461715,62;10409987,36;20101231
AT1;AT13;AT130;0;0;145640968,3;;230101745,9;;4805501,3;10337081,22;20111231
AT1;AT13;AT130;0;0;186858754,6;;245299554;;4827513,62;11158006,98;20121231
AT1;AT13;AT130;0;0;196668398;;246861888,5;;4915622,19;11729922,84;20131231
