NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;126602;135621;262223;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60301;Aibl;721;706;1427;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60302;Deutschlandsberg;3859;4256;8115;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60303;Eibiswald;655;730;1385;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;1414;1529;2943;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60306;Freiland bei Deutschlandsberg;82;72;154;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60307;Bad Gams;1114;1173;2287;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60308;Garanas;139;125;264;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60309;Georgsberg;728;760;1488;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60310;Greisdorf;510;505;1015;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60311;Gressenberg;160;147;307;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60312;Groß Sankt Florian;1449;1470;2919;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60313;Großradl;729;700;1429;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60314;Gundersdorf;191;225;416;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60315;Hollenegg;1080;1046;2126;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60316;Kloster;102;90;192;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;1625;1689;3314;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60319;Limberg bei Wies;467;453;920;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60320;Marhof;526;523;1049;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60321;Osterwitz;80;68;148;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60322;Pitschgau;801;775;1576;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;809;859;1668;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;841;852;1693;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60325;Rassach;731;706;1437;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);699;699;1398;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60327;Sankt Martin im Sulmtal;895;921;1816;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60328;Sankt Oswald ob Eibiswald;271;288;559;01.01.2012
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;679;678;1357;01.01.2012
